Date,1st drop,2nd drop
10/08/17,50,30
21/08/17,70,27
02/09/17,60,23
03/09/17,75,25
06/09/17,45,20
08/09/17,35,25
11/09/17,60,25
18/09/17,40,26
21/09/17,60,20
23/09/17,80,20
29/09/17,45,25
16/10/17,32,13
20/10/17,20,20
25/10/17,30,25
29/10/17,72,12
01/11/17,35,8
05/11/17,55,14
06/11/17,55,10
13/11/17,42,21
17/11/17,60,20
18/11/17,35,15
29/11/17,30,12
30/11/17,17,7
01/12/17,20,10
03/12/17,50,18
04/12/17,70,20
11/12/17,45,13
14/12/17,25,10
15/12/17,25,15
27/12/17,6,10
28/12/17,3,7
30/12/17,5,6
31/12/17,5,7
04/01/18,35,20
04/01/18,42,13
05/01/18,25,25
08/01/18,25,14
11/01/18,25,5
11/01/18,20,8
12/01/18,20,20
12/01/18,16,11
13/01/18,30,10
24/01/18,25,15
03/02/18,25,9
04/02/18,50,15
05/02/18,30,27
05/02/18,30,17
07/02/18,18,18
07/02/18,30,35
08/02/18,15,10
09/02/18,15,15
10/02/18,30,20
21/02/18,40,25
23/02/18,30,15
24/02/18,25,9
26/02/18,30,10
01/03/18,40,10
02/03/18,20,10
03/03/18,30,15
04/03/18,35,15
05/03/18,35,15
05/03/18,30,12
07/03/18,36,27
09/03/18,20,10
09/03/18,35,28
10/03/18,40,20
11/03/18,25,10
11/03/18,15,13
18/03/18,75,25
24/03/18,25,14
26/03/18,25,14
28/03/18,35,15
30/03/18,30,15
31/03/18,30,15
31/03/18,35,20
01/04/18,42,13
02/04/18,30,15
02/04/18,35,15
03/04/18,30,17
06/04/18,28,20
07/04/18,25,15
08/04/18,60,20
09/04/18,45,25
15/04/18,60,20
18/04/18,15,20
21/04/18,41,15
22/04/18,41,15
22/04/18,25,15
25/04/18,25,15
26/04/18,75,25
27/04/18,30,25
27/04/18,20,15
28/04/18,20,15
28/04/18,30,25
30/04/18,25,25
04/05/18,40,20
05/05/18,35,25
05/05/18,40,20
16/05/18,45,30
17/05/18,45,30
18/05/18,40,15
19/05/18,51,12
20/05/18,40,15
21/05/18,51,12
25/05/18,20,20
26/05/18,25,20
27/05/18,20,20
28/05/18,25,20
28/05/18,70,35
30/05/18,65,23
31/05/18,65,23
01/06/18,30,27
02/06/18,35,15
03/06/18,30,12
04/06/18,35,25
08/06/18,18,19
09/06/18,60,25
13/06/18,30,25
14/06/18,30,25
15/06/18,15,28
16/06/18,36,18
23/06/18,30,30
24/06/18,30,30
25/06/18,19,31
29/06/18,30,20
30/06/18,18,18
01/07/18,27,17
01/07/18,30,35
04/07/18,28,20
08/07/18,47,16
09/07/18,35,10
11/07/18,27,18
13/07/18,30,20
14/07/18,30,20
21/07/18,40,20
22/07/18,40,20
23/07/18,40,27
27/07/18,25,18
28/07/18,25,18
28/07/18,22,15
29/07/18,22,15
06/08/18,47,16
06/08/18,18,19
08/08/18,45,25
10/08/18,45,18
11/08/18,90,24
12/08/18,45,15
12/08/18,25,15
13/08/18,90,24
13/08/18,100,34
20/08/18,45,26
22/08/18,45,26
24/08/18,65,20
25/08/18,65,20
25/08/18,50,30
26/08/18,50,30
02/09/18,35,28
03/09/18,25,15
05/09/18,60,25
08/09/18,45,25
09/09/18,53,16
09/09/18,30,15
10/09/18,95,30
15/09/18,36,14
16/09/18,36,14
17/09/18,45,25
19/09/18,40,20
21/09/18,25,15
22/09/18,25,15
22/09/18,60,20
28/09/18,25,25
29/09/18,25,25
03/10/18,45,25
06/10/18,35,10
07/10/18,45,18
08/10/18,30,30
13/10/18,25,12
14/10/18,25,12
14/10/18,30,10
15/10/18,30,3
17/10/18,30,3
18/10/18,30,10
19/10/18,30,18
20/10/18,30,15
21/10/18,30,15
31/10/18,20,8
02/11/18,25,10
03/11/18,15,13
03/11/18,40,20
04/11/18,22,8
05/11/18,40,15
10/11/18,25,15
11/11/18,25,15
12/11/18,25,25
12/11/18,25,15
12/11/18,20,15
16/11/18,10,20
28/11/18,25,11
29/11/18,25,11
01/12/18,16,11
02/12/18,16,7
03/12/18,30,15
07/12/18,27,18
08/12/18,25,15
09/12/18,30,15
10/12/18,20,15
14/12/18,22,8
15/12/18,20,10
28/12/18,11,4
30/12/18,8,10
31/12/18,13,10
06/01/19,25,7
06/01/19,25,30
12/01/19,20,10
19/01/19,20,15
23/01/19,23,12
24/01/19,25,12
24/01/19,25,8
25/01/19,6,6
26/01/19,20,5
02/02/19,45,15
03/02/19,26,14
03/02/19,25,10
04/02/19,47,14
09/02/19,25,13
11/02/19,25,10
21/02/19,31,14
23/02/19,22,13
24/02/19,21,10
25/02/19,34,22
02/03/19,20,15
03/03/19,25,20
03/03/19,15,12
09/03/19,25,20
21/03/19,36,14
21/03/19,21,16
22/03/19,35,15
23/03/19,25,10
25/03/19,40,18
31/03/19,30,15
05/04/19,25,15
06/04/19,35,20
07/04/19,35,17
10/04/19,35,23
11/04/19,30,21
17/04/19,34,18
18/04/19,20,15
20/04/19,29,19
22/04/19,60,25
29/04/19,25,20
29/04/19,35,26
03/05/19,25,12
04/05/19,20,20
05/05/19,25,15
09/05/19,50,17
16/05/19,38,25
18/05/19,45,25
18/05/19,40,20
20/05/19,40,25
26/05/19,50,20
27/05/19,50,15
30/05/19,45,35
01/06/19,16,20
01/06/19,15,10
02/06/19,30,28
03/06/19,60,20
10/06/19,17,15
13/06/19,35,15
15/06/19,25,17
17/06/19,45,40
23/06/19,30,20
24/06/19,30,15
27/06/19,35,20
29/06/19,35,18
07/07/19,40,20
12/07/19,25,15
14/07/19,21,18
15/07/19,40,30
19/07/19,30,15
22/07/19,58,25
27/07/19,45,18
27/07/19,25,25
01/08/19,26,12
02/08/19,27,15
03/08/19,20,25
04/08/19,47,30
08/08/19,30,17
08/08/19,48,32
10/08/19,24,14
12/08/19,48,18
16/08/19,30,15
18/08/19,50,15
19/08/19,45,20
23/08/19,40,25
24/08/19,18,15
01/09/19,50,12
05/09/19,35,17
06/09/19,45,25
09/09/19,60,20
12/09/19,30,10
13/09/19,25,20
14/09/19,30,15
21/09/19,23,15
03/10/19,28,20
05/10/19,50,25
07/10/19,35,25
09/10/19,25,15
11/10/19,35,15
12/10/19,22,10
16/10/19,35,25
19/10/19,18,13
31/10/19,23,16
04/11/19,25,15
08/11/19,20,8
11/11/19,28,8
11/11/19,20,12
15/11/19,35,14
16/11/19,18,14
27/11/19,27,19
28/11/19,25,15
30/11/19,18,13
01/12/19,60,20
01/12/19,15,15
02/12/19,40,15
07/12/19,42,22
09/12/19,27,9
13/12/19,40,8
14/12/19,25,14
23/12/19,30,9
23/12/19,23,7
24/12/19,20,8
25/12/19,6,3
26/12/19,7,8
28/12/19,17,7
30/12/19,30,11
03/01/20,20,15
04/01/20,25,15
05/01/20,30,16
06/01/20,30,21
09/01/20,25,15
10/01/20,25,15
11/01/20,27,25
19/01/20,15,12
22/01/20,30,18
23/01/20,25,15
25/01/20,30,15
27/01/20,30,12
02/02/20,25,20
03/02/20,30,9
07/02/20,40,15
08/02/20,30,15
20/02/20,20,15
22/02/20,33,18
24/02/20,20,15
01/03/20,18,12
02/03/20,19,13
06/03/20,25,15
07/03/20,30,16
01/05/20,25,15
03/09/20,25,10
